Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU)
4/30/2023,Regional Summary,Hydro,TOTAL,298,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Nuclear,TOTAL,131,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Gas, Naptha & Diesel",TOTAL,63,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",TOTAL,415,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,TOTAL,4183,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Coal,% Share,76,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Lignite,% Share,2,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Hydro,% Share,7,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Nuclear,% Share,3,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Gas, Naptha & Diesel",% Share,2,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",% Share,10,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,% Share,100,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,FVI,TOTAL,0.108,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Frequency (<49.7),TOTAL,0.0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Frequency (49.7 - 49.8),TOTAL,1.19,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Frequency (49.8 - 49.9),TOTAL,11.92,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Frequency (< 49.9),TOTAL,13.11,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Frequency (49.9 - 50.05),TOTAL,56.43,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Frequency (> 50.05),TOTAL,30.46,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Region DDF,TOTAL,1.028,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,States DDF,TOTAL,1.059,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,International NET,,,,2.1,-12.5,-17.8,-4.6,231.1,-615.6,-1091.0,-464.0,,,,,,,,,,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,HVDC,ALIPURDUAR-AGRA,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,HVDC,PUSAULI  B/B,,0.0,97.0,0.0,2.3,-2.3,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,GAYA-VARANASI,2.0,349.0,622.0,0.0,4.9,-4.9,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,SASARAM-FATEHPUR,1.0,61.0,372.0,0.0,2.5,-2.5,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,GAYA-BALIA,1.0,0.0,714.0,0.0,12.0,-12.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PUSAULI-VARANASI,1.0,0.0,82.0,0.0,1.1,-1.1,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PUSAULI -ALLAHABAD,1.0,0.0,80.0,0.0,1.2,-1.2,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,MUZAFFARPUR-GORAKHPUR,2.0,122.0,702.0,0.0,7.5,-7.5,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PATNA-BALIA,2.0,0.0,632.0,0.0,10.0,-10.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,NAUBATPUR-BALIA,2.0,0.0,670.0,0.0,10.3,-10.3,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,BIHARSHARIFF-BALIA,2.0,27.0,367.0,0.0,4.6,-4.6,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,MOTIHARI-GORAKHPUR,2.0,0.0,464.0,0.0,5.9,-5.9,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,BIHARSHARIFF-VARANASI,2.0,130.0,282.0,0.0,2.7,-2.7,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,220 kV,SAHUPURI-KARAMNASA,1.0,0.0,173.0,0.0,3.0,-3.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,NAGAR UNTARI-RIHAND,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,GARWAH-RIHAND,1.0,25.0,0.0,0.4,0.0,0.4,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,KARMANASA-SAHUPURI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,KARMANASA-CHANDAULI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NR,,Total,,,,0.4,67.8,-67.4,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,JHARSUGUDA-DHARAMJAIGARH,4.0,1721.0,133.0,17.4,0.0,17.4,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,NEW RANCHI-DHARAMJAIGARH,2.0,1057.0,514.0,5.7,0.0,5.7,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,JHARSUGUDA-DURG,2.0,0.0,552.0,0.0,7.3,-7.3,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,400 kV,JHARSUGUDA-RAIGARH,4.0,113.0,512.0,0.0,5.5,-5.5,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,400 kV,RANCHI-SIPAT,2.0,313.0,148.0,1.4,0.0,1.4,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,220 kV,BUDHIPADAR-RAIGARH,1.0,0.0,56.0,0.0,1.0,-1.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,220 kV,BUDHIPADAR-KORBA,2.0,158.0,0.0,3.7,0.0,3.7,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-WR,,Total,,,,28.2,13.9,14.3,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-SR,HVDC,JEYPORE-GAZUWAKA B/B,2.0,0.0,546.0,0.0,12.6,-12.6,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-SR,HVDC,TALCHER-KOLAR BIPOLE,2.0,0.0,1642.0,0.0,39.6,-39.6,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-SR,765 kV,ANGUL-SRIKAKULAM,2.0,0.0,2987.0,0.0,49.2,-49.2,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-SR,400 kV,TALCHER-I/C,2.0,258.0,627.0,0.0,3.3,-3.3,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-SR,220 kV,BALIMELA-UPPER-SILERRU,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-SR,,Total,,,,0.0,101.4,-101.4,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NER,400 kV,BINAGURI-BONGAIGAON,2.0,210.0,5.0,2.4,0.0,2.4,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NER,400 kV,ALIPURDUAR-BONGAIGAON,2.0,695.0,0.0,8.8,0.0,8.8,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NER,220 kV,ALIPURDUAR-SALAKATI,2.0,129.0,0.0,1.8,0.0,1.8,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,ER-NER,,Total,,,,13.1,0.0,13.1,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,NER-NR,HVDC,BISWANATH CHARIALI-AGRA,2.0,481.0,0.0,10.8,0.0,10.8,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,NER-NR,,Total,,,,10.8,0.0,10.8,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,CHAMPA-KURUKSHETRA,2.0,0.0,1500.0,0.0,33.4,-33.4,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,VINDHYACHAL B/B,,445.0,0.0,12.2,0.0,12.2,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,MUNDRA-MOHINDERGARH,2.0,0.0,304.0,7.2,0.0,7.2,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-AGRA,2.0,0.0,1880.0,0.0,31.1,-31.1,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-PHAGI,2.0,341.0,1292.0,0.6,13.8,-13.2,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,JABALPUR-ORAI,2.0,0.0,665.0,0.0,19.2,-19.2,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-ORAI,1.0,750.0,0.0,12.6,0.0,12.6,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,SATNA-ORAI,1.0,0.0,796.0,0.0,16.3,-16.3,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,BANASKANTHA-CHITORGARH,2.0,1446.0,0.0,23.7,0.0,23.7,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,VINDHYACHAL-VARANASI,2.0,0.0,2924.0,0.0,47.8,-47.8,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,ZERDA-KANKROLI,1.0,284.0,0.0,4.8,0.0,4.8,,,,,,
4/30/2023,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,ZERDA -BHINMAL,1.0,501.0,0.0,6.7,0.0,6.7,,,,,,
