PDF_Path	Reason	Raw_Tables	Identified_Tables
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\16.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\13.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\11.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\10.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\08.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\07.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\06.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\05.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\03.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\02.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JUNE\reports\01.06.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JULY\reports\12.07.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JULY\reports\07.07.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\JANUARY\reports\31.01.25_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\JANUARY\reports\16.01.25_NLDC_PSP.pdf	MISSING_TABLES	18	16
Output\NLDC_PSP_URLS\2024-25\FEBRUARY\reports\24.02.25_NLDC_PSP.pdf	MISSING_TABLES	18	16
Output\NLDC_PSP_URLS\2024-25\FEBRUARY\reports\15.02.25_NLDC_PSP.pdf	MISSING_TABLES	18	16
Output\NLDC_PSP_URLS\2024-25\FEBRUARY\reports\13.02.25_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\FEBRUARY\reports\13.02.25_NLDC_PSP.pdf	COUNT_CHANGE	17	15
Output\NLDC_PSP_URLS\2024-25\FEBRUARY\reports\12.02.25_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\FEBRUARY\reports\03.02.25_NLDC_PSP.pdf	MISSING_TABLES	18	16
Output\NLDC_PSP_URLS\2024-25\DECEMBER\reports\20.12.24_NLDC_PSP.pdf	MISSING_TABLES	18	16
Output\NLDC_PSP_URLS\2024-25\DECEMBER\reports\17.12.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\DECEMBER\reports\17.12.24_NLDC_PSP.pdf	COUNT_CHANGE	17	15
Output\NLDC_PSP_URLS\2024-25\DECEMBER\reports\16.12.24_NLDC_PSP.pdf	COUNT_CHANGE	17	16
Output\NLDC_PSP_URLS\2024-25\DECEMBER\reports\04.12.24_NLDC_PSP.pdf	MISSING_TABLES	18	16
Output\NLDC_PSP_URLS\2024-25\DECEMBER\reports\01.12.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\DECEMBER\reports\01.12.24_NLDC_PSP.pdf	COUNT_CHANGE	17	15
Output\NLDC_PSP_URLS\2024-25\AUGUST\reports\30.08.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\AUGUST\reports\29.08.24_NLDC_PSP.pdf	COUNT_CHANGE	13	12
Output\NLDC_PSP_URLS\2024-25\AUGUST\reports\28.08.24_NLDC_PSP.pdf	COUNT_CHANGE	16	15
Output\NLDC_PSP_URLS\2024-25\AUGUST\reports\27.08.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\AUGUST\reports\12.08.24_NLDC_PSP.pdf	COUNT_CHANGE	11	10
Output\NLDC_PSP_URLS\2024-25\AUGUST\reports\11.08.24_NLDC_PSP.pdf	COUNT_CHANGE	16	15
Output\NLDC_PSP_URLS\2024-25\APRIL\reports\30.04.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2024-25\APRIL\reports\29.04.24_NLDC_PSP.pdf	MISSING_TABLES	17	15
