Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU),Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total,TIME,FREQUENCY (Hz),DEMAND MET (MW),NUCLEAR (MW),WIND (MW),SOLAR (MW),HYDRO (MW),GAS (MW),THERMAL (MW),OTHERS (MW),NET DEMAND MET (MW),TOTAL GENERATION (MW),"NET TRANSNATIONAL EXCHANGE (MW) (+ve) Import, (-ve) Export"
3/6/2025,Regional Summary,Non-SolarHR Max Demand Time,TOTAL,18:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Non-SolarHR Shortage,TOTAL,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,Region DDF,TOTAL,1.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Regional Summary,States DDF,TOTAL,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International NET,,,,-5.5,-13.4,-23.6,-21.4,-478.0,-753.7,-1003.0,-1219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,HVDC,ALIPURDUAR-AGRA,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,HVDC,PUSAULI  B/B,,0.0,47.0,0.0,2.5,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,GAYA-VARANASI,2.0,394.0,1023.0,0.0,13.4,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,SASARAM-FATEHPUR,1.0,185.0,587.0,0.0,7.6,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,765 kV,GAYA-BALIA,1.0,57.0,528.0,0.0,5.2,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PUSAULI-VARANASI,1.0,0.0,173.0,0.0,2.4,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PUSAULI -ALLAHABAD,1.0,88.0,69.0,0.0,0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,MUZAFFARPUR-GORAKHPUR,2.0,598.0,383.0,0.4,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,PATNA-BALIA,2.0,167.0,826.0,0.0,13.2,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,NAUBATPUR-BALIA,2.0,78.0,274.0,0.0,4.1,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,BIHARSHARIFF-BALIA,2.0,309.0,134.0,1.3,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,MOTIHARI-GORAKHPUR,2.0,162.0,396.0,0.0,5.1,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,BIHARSARIFF-SAHUPURI,2.0,272.0,362.0,0.0,4.2,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,220 kV,SAHUPURI-KARAMNASA,1.0,0.0,54.0,0.0,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,NAGAR UNTARI-RIHAND,1.0,0.0,0.0,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,GARWAH-RIHAND,1.0,30.0,0.0,0.6,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,KARMANASA-SAHUPURI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,KARMANASA-CHANDAULI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NR,,Total,,,,2.3,58.4,-56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,JHARSUGUDA-DHARAMJAIGARH,4.0,333.0,607.0,0.0,2.7,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,NEW RANCHI-DHARAMJAIGARH,2.0,201.0,1423.0,0.0,15.2,-15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,JHARSUGUDA-DURG,2.0,0.0,868.0,0.0,17.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,400 kV,JHARSUGUDA-RAIGARH,4.0,0.0,809.0,0.0,14.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,400 kV,RANCHI-SIPAT,2.0,50.0,444.0,0.0,4.8,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,220 kV,BUDHIPADAR-RAIGARH,1.0,0.0,131.0,0.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,220 kV,BUDHIPADAR-KORBA,2.0,107.0,83.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-WR,,Total,,,,0.0,55.7,-55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-SR,HVDC,JEYPORE-GAZUWAKA B/B,2.0,0.0,830.0,0.0,12.7,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-SR,HVDC,TALCHER-KOLAR BIPOLE,2.0,0.0,1815.0,0.0,46.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-SR,765 kV,ANGUL-SRIKAKULAM,2.0,0.0,3210.0,0.0,59.5,-59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-SR,400 kV,TALCHER-I/C,2.0,0.0,142.0,0.0,5.6,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-SR,220 kV,BALIMELA-UPPER-SILERRU,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-SR,,Total,,,,0.0,118.2,-118.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NER,400 kV,BINAGURI-BONGAIGAON,2.0,216.0,60.0,1.7,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NER,400 kV,ALIPURDUAR-BONGAIGAON,2.0,360.0,16.0,3.6,0.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NER,220 kV,ALIPURDUAR-SALAKATI,2.0,76.0,1.0,0.9,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,ER-NER,,Total,,,,6.1,0.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,NER-NR,HVDC,BISWANATH CHARIALI-AGRA,2.0,661.0,0.0,16.1,0.0,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,NER-NR,,Total,,,,16.1,0.0,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,CHAMPA-KURUKSHETRA,2.0,0.0,1486.0,0.0,29.7,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,VINDHYACHAL B/B,,5.0,255.0,0.0,6.4,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,MUNDRA-MOHINDERGARH,2.0,0.0,1268.0,0.0,25.3,-25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-AGRA,2.0,1152.0,1336.0,6.5,5.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-PHAGI,2.0,1112.0,1544.0,4.7,14.9,-10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,JABALPUR-ORAI,2.0,609.0,835.0,0.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-ORAI,1.0,862.0,0.0,13.3,0.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,SATNA-ORAI,1.0,0.0,945.0,0.0,11.8,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,BANASKANTHA-CHITORGARH,2.0,2171.0,0.0,28.2,0.0,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,VINDHYACHAL-VARANASI,2.0,1311.0,1157.0,5.1,0.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,ZERDA-KANKROLI,1.0,459.0,0.0,5.7,0.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,ZERDA -BHINMAL,1.0,317.0,0.0,3.9,0.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,VINDHYACHAL -RIHAND,1.0,488.0,0.0,10.5,0.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,RAPP-SHUJALPUR,2.0,802.0,285.0,7.7,0.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,NEEMUCH-Chittorgarh,2.0,798.0,259.0,7.8,0.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,BHANPURA-RANPUR,1.0,0.0,153.0,0.0,2.7,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,BHANPURA-MORAK,1.0,0.0,30.0,0.0,2.2,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,MEHGAON-AURAIYA,1.0,144.0,0.0,2.5,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,MALANPUR-AURAIYA,1.0,109.0,0.0,1.8,0.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,132 kV,GWALIOR-SAWAI MADHOPUR,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,132 kV,RAJGHAT-LALITPUR,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-NR,,Total,,,,97.6,101.2,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,HVDC,BHADRAWATI B/B,,0.0,1012.0,0.0,22.8,-22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,HVDC,RAIGARH-PUGALUR,2.0,0.0,6021.0,0.0,114.2,-114.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,765 kV,SOLAPUR-RAICHUR,2.0,505.0,1337.0,0.7,14.6,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,765 kV,WARDHA-NIZAMABAD,2.0,0.0,3184.0,0.0,51.5,-51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,765 kV,WARORA-WARANGAL(NEW),2.0,0.0,3007.0,0.0,48.3,-48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,400 kV,KOLHAPUR-KUDGI,2.0,1232.0,0.0,17.7,0.0,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,220 kV,KOLHAPUR-CHIKODI,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,220 kV,PONDA-AMBEWADI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,220 kV,XELDEM-AMBEWADI,1.0,0.0,135.0,2.5,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Inter-Region,,,,,,,,,,,,WR-SR,,Total,,,,20.9,251.5,-230.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,ER,,,,,,,,,,,,,,,,,,,BHUTAN,"400kV MANGDECHHU-ALIPURDUAR 1,2&3 i.e.ALIPURDUAR RECEIPT (from MANGDECHUHEP 4*180MW)",176.0,-41.0,68.0,1.64,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,ER,,,,,,,,,,,,,,,,,,,BHUTAN,"400kV TALA-BINAGURI 1,2,4 (& 400kVMALBASE  -  BINAGURI) i.e. BINAGURIRECEIPT (from TALA HEP 6*170MW)",-301.0,64.0,-123.0,-2.95,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,ER,,,,,,,,,,,,,,,,,,,BHUTAN,"220kV CHUKHA-BIRPARA 1&2 (& 220kVMALBASE - BIRPARA) i.e. BIRPARA RECEIPT(from CHUKHA HEP 4*84MW)",-225.0,-91.0,-166.0,-3.98,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,NER,,,,,,,,,,,,,,,,,,,BHUTAN,132kV GELEPHU-SALAKATI,-20.0,-11.0,-16.0,-0.39,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,NER,,,,,,,,,,,,,,,,,,,BHUTAN,132kV MOTANGA-RANGIA,13.0,0.0,8.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,NR,,,,,,,,,,,,,,,,,,,NEPAL,NEPAL IMPORT (FROM UP),0.0,0.0,0.0,-1.04,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,NR,,,,,,,,,,,,,,,,,,,NEPAL,132kV MAHENDRANAGAR-TANAKPUR(NHPC),0.0,0.0,0.0,-0.96,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,ER,,,,,,,,,,,,,,,,,,,NEPAL,NEPAL IMPORT (FROM BIHAR),-220.0,-48.0,-168.0,-4.03,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,ER,,,,,,,,,,,,,,,,,,,NEPAL,400kV DHALKEBAR-MUZAFFARPUR 1&2,-534.0,-12.0,-308.0,-7.4,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,ER,,,,,,,,,,,,,,,,,,,BANGLADESH,BHERAMARA B/B HVDC (B'DESH),-941.0,-886.0,-932.0,-22.36,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,"ER(Isolated from Indian Grid)",,,,,,,,,,,,,,,,,,,BANGLADESH,400kV GODDA_TPS-RAHANPUR (B'DESH) D/C,-1219.0,-804.0,-892.0,-21.41,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,International,,NER,,,,,,,,,,,,,,,,,,,BANGLADESH,132kV COMILLA-SURAJMANI NAGAR 1&2,-62.0,0.0,-51.0,-1.22,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Bhutan,0.0,0.39,6.16,0.0,0.0,0.0,0.0,0.0,6.55,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Nepal,3.99,0.0,5.47,0.0,0.0,2.27,0.0,0.0,11.73,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Bangladesh,23.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Total Export,27.22,0.39,11.63,0.0,0.0,2.27,0.0,0.0,41.51,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Bhutan,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Total Import,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Bhutan,0.73,-0.39,-6.16,0.0,0.0,0.0,0.0,0.0,-5.82,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Nepal,-3.99,0.0,-5.47,0.0,0.0,-2.27,0.0,0.0,-11.73,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Bangladesh,-23.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.23,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
3/6/2025,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Total Net,-26.49,-0.39,-11.63,0.0,0.0,-2.27,0.0,0.0,-40.78,,,,,,,,,,,,,
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00,50.04,176788.0,6053.0,5035.0,102.0,9654.0,1937.0,155610.0,2617.0,171651.0,181008.0,-1821.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:15,49.94,177084.0,6057.0,5190.0,95.0,8371.0,1905.0,157285.0,2581.0,171799.0,181484.0,-1758.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:30,49.94,176269.0,6070.0,5172.0,88.0,8542.0,1914.0,156183.0,2515.0,171009.0,180484.0,-1746.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:45,49.99,176372.0,6048.0,4997.0,87.0,8546.0,1912.0,156336.0,2489.0,171288.0,180415.0,-1752.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:00,49.99,175046.0,6048.0,5160.0,88.0,8166.0,1917.0,155536.0,2571.0,169798.0,179486.0,-1740.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:15,49.99,174278.0,6062.0,5193.0,89.0,8000.0,1913.0,154815.0,2499.0,168996.0,178571.0,-1734.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:30,49.99,173478.0,6056.0,5177.0,83.0,7743.0,1912.0,154473.0,2482.0,168218.0,177926.0,-1749.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:45,49.99,172452.0,6074.0,5158.0,85.0,6978.0,1897.0,154210.0,2499.0,167209.0,176901.0,-1720.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:00,50.04,171066.0,6052.0,5031.0,86.0,6569.0,1909.0,153526.0,2489.0,165949.0,175662.0,-1714.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:15,50.04,170551.0,6077.0,5045.0,86.0,6298.0,1910.0,152896.0,2496.0,165420.0,174808.0,-1694.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:30,49.99,170219.0,6060.0,4998.0,87.0,6399.0,1891.0,152681.0,2505.0,165134.0,174621.0,-1708.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:45,50.04,170202.0,6066.0,5007.0,89.0,6421.0,1892.0,152363.0,2478.0,165106.0,174316.0,-1711.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:00,50.04,169299.0,6053.0,5001.0,89.0,6181.0,1907.0,151751.0,2486.0,164209.0,173468.0,-1734.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:15,49.99,169821.0,6053.0,4982.0,90.0,5902.0,1928.0,152451.0,2476.0,164749.0,173882.0,-1722.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:30,49.99,170081.0,6048.0,4921.0,80.0,6097.0,1932.0,152621.0,2479.0,165080.0,174178.0,-1716.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:45,49.99,170588.0,6054.0,4838.0,78.0,6177.0,1929.0,152952.0,2499.0,165672.0,174527.0,-1715.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:00,50.04,171079.0,6039.0,4747.0,77.0,6182.0,1937.0,153927.0,2482.0,166255.0,175391.0,-1746.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:15,49.99,173547.0,6055.0,4648.0,76.0,7006.0,1935.0,155490.0,2504.0,168823.0,177714.0,-1741.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:30,50.04,175133.0,6053.0,4558.0,72.0,7253.0,1946.0,156898.0,2569.0,170503.0,179349.0,-1722.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:45,50.04,176274.0,6058.0,4576.0,70.0,7292.0,1943.0,158080.0,2487.0,171628.0,180506.0,-1636.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:00,50.09,177030.0,6060.0,4474.0,72.0,7608.0,1977.0,158558.0,2501.0,172484.0,181250.0,-1501.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:15,50.04,179667.0,6071.0,4575.0,73.0,7923.0,1999.0,160535.0,2489.0,175019.0,183665.0,-1389.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:30,49.99,182240.0,6074.0,4621.0,74.0,8708.0,1984.0,162409.0,2547.0,177545.0,186417.0,-1410.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:45,49.99,184696.0,6065.0,4718.0,82.0,9735.0,1982.0,163741.0,2631.0,179896.0,188954.0,-1455.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00,50.04,186991.0,6065.0,4756.0,61.0,12347.0,2005.0,163555.0,2585.0,182174.0,191374.0,-1414.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:15,49.99,191370.0,6051.0,4763.0,140.0,15931.0,1957.0,164407.0,2583.0,186467.0,195832.0,-1399.0
