DateID,CountryID,TotalEnergyExchanged,PeakExchange
218,5,-26.3,-1321.6
219,1,3.5,216.0
219,2,9.9,401.0
219,3,-22.0,-935.0
219,5,-27.0,-1465.0
220,1,9.3,395.2
220,2,9.5,383.0
220,3,-21.4,-921.0
220,5,-26.3,-1365.0
221,1,4.5,489.0
221,2,8.4,364.9
221,3,-21.6,-1061.0
221,5,-27.0,-1368.0
222,1,5.0,319.0
222,2,8.3,430.0
222,3,-21.7,-932.0
222,5,-24.4,-1327.0
223,1,1.9,177.3
223,2,9.0,365.0
223,3,-21.3,-1093.0
223,5,-21.4,-1045.0
224,1,0.5,72.1
224,2,10.5,473.4
224,3,-22.8,-1074.0
224,5,-22.4,-1179.0
225,1,-5.2,-102.4
225,2,12.0,510.2
225,3,-25.2,-1082.0
225,5,-24.5,-1228.7
226,1,-3.7,-198.5
226,2,12.1,542.0
226,3,-24.0,-1084.0
226,5,-22.9,-1170.0
227,1,-1.2,-178.3
227,2,12.6,420.0
227,3,-24.1,-1080.0
227,5,-22.2,-1172.0
228,1,-0.4,-251.0
228,2,12.4,509.0
228,3,-24.0,-1075.0
228,5,-21.7,-1139.1
229,1,-0.9,-285.0
229,2,12.5,458.0
229,3,-24.1,-1071.0
229,5,-23.0,-1233.0
230,1,-2.3,-256.0
230,2,11.3,505.7
230,3,-12.8,-1057.0
230,5,-19.5,-1398.6
231,1,-2.5,-332.7
231,2,11.1,492.0
231,3,-17.1,-1047.0
231,5,-19.9,-1461.6
232,1,-1.8,-268.4
232,2,12.3,450.0
232,3,-22.3,-1076.0
232,5,-19.8,-876.3
233,1,-1.7,-121.4
233,2,10.2,463.5
233,3,-23.0,-1078.0
233,5,-19.6,-833.0
234,1,-12.3,-552.3
234,2,10.3,491.5
234,3,-22.9,-1058.0
234,5,-19.8,-842.0
235,1,-3.6,-225.7
235,2,8.4,434.4
235,3,-23.0,-1071.0
235,5,-20.0,-924.9
236,1,-3.5,-217.3
236,2,7.4,374.0
236,3,-23.1,-1059.0
236,5,-20.1,-972.4
237,1,-3.9,-236.3
237,2,7.5,391.6
237,3,-14.1,-1043.0
237,5,-19.9,-846.4
238,1,-3.9,-256.0
238,2,7.0,386.4
238,3,-12.6,-580.0
238,5,-19.8,-843.0
239,1,-3.5,-221.0
239,2,3.5,302.0
239,3,-13.4,-579.0
239,5,-20.0,-884.0
240,1,-3.0,-251.0
240,2,4.7,294.4
240,3,-13.0,-583.0
240,5,-20.5,-976.5
241,1,-4.4,-263.5
241,2,4.3,301.8
241,3,-16.4,-1052.0
241,5,-20.0,-893.4
242,1,-3.9,-292.1
242,2,3.2,252.2
242,3,-23.0,-1061.0
242,5,-18.8,-873.4
243,1,-3.3,-291.0
243,2,2.7,245.8
243,3,-21.1,-1061.0
243,5,-20.0,-946.5
244,1,-4.4,-328.3
244,2,1.4,194.6
244,3,-22.4,-1053.0
244,5,-4.5,-833.9
245,1,0.2,-308.8
245,2,1.6,217.7
245,3,-14.9,-1066.0
245,5,-6.2,-754.0
246,1,0.2,289.0
246,2,0.8,55.0
246,3,-13.4,-587.0
