DateID,LineID,CountryID,StateID,RegionID,MaxLoading,MinLoading,AvgLoading,EnergyExchanged
636,73,2.0,,4.0,-188.0,56.0,-50.0,-1.21
636,74,3.0,,4.0,-941.0,-556.0,-806.0,-19.34
636,75,3.0,,4.0,-612.0,-403.0,-469.0,-11.25
636,76,3.0,,5.0,-57.0,0.0,-39.0,-0.94
637,66,1.0,,4.0,193.0,-186.0,-62.0,-1.48
637,67,1.0,,4.0,-251.0,192.0,-82.0,-1.97
637,68,1.0,,4.0,-258.0,-120.0,-219.0,-5.25
637,69,1.0,,5.0,-33.0,-17.0,-25.0,-0.61
637,70,1.0,,5.0,-9.0,8.0,-2.0,-0.05
637,71,2.0,,1.0,-58.0,0.0,-30.0,-0.72
637,72,2.0,,4.0,-168.0,-5.0,-83.0,-1.99
637,73,2.0,,4.0,-124.0,-3.0,-28.0,-0.66
637,74,3.0,,4.0,-938.0,-554.0,-853.0,-20.47
637,75,3.0,,4.0,-763.0,-404.0,-493.0,-11.83
637,76,3.0,,5.0,-48.0,0.0,-33.0,-0.8
638,66,1.0,,4.0,202.0,-182.0,-43.0,-1.03
638,67,1.0,,4.0,-260.0,161.0,-99.0,-2.39
638,68,1.0,,4.0,-260.0,-113.0,-201.0,-4.83
638,69,1.0,,5.0,-32.0,-17.0,-24.0,-0.59
638,70,1.0,,5.0,-10.0,0.0,0.0,0.0
638,71,2.0,,1.0,-51.0,0.0,-26.0,-0.63
638,72,2.0,,4.0,-154.0,-39.0,-81.0,-1.95
638,73,2.0,,4.0,0.0,93.0,63.0,1.5
638,74,3.0,,4.0,-938.0,-650.0,-878.0,-21.07
638,75,3.0,,4.0,-766.0,-410.0,-573.0,-13.75
638,76,3.0,,5.0,-52.0,0.0,-38.0,-0.9
639,66,1.0,,4.0,322.0,8.0,113.0,2.7
639,67,1.0,,4.0,-219.0,145.0,-47.0,-1.13
639,68,1.0,,4.0,-253.0,-132.0,-198.0,-4.76
639,69,1.0,,5.0,-33.0,-11.0,-18.0,-0.43
639,70,1.0,,5.0,-13.0,0.0,-4.0,-0.1
639,71,2.0,,1.0,-65.0,0.0,-31.0,-0.74
639,72,2.0,,4.0,-189.0,0.0,-73.0,-1.75
639,73,2.0,,4.0,-288.0,23.0,-105.0,-2.51
639,74,3.0,,4.0,-932.0,-642.0,-814.0,-19.54
639,75,3.0,,4.0,-769.0,-409.0,-570.0,-13.68
639,76,3.0,,5.0,-57.0,0.0,-49.0,-1.18
640,66,1.0,,4.0,190.0,0.0,86.0,2.05
640,67,1.0,,4.0,-260.0,135.0,-77.0,-1.84
640,68,1.0,,4.0,-250.0,-115.0,-195.0,-4.69
640,69,1.0,,5.0,-29.0,-11.0,-18.0,-0.43
640,70,1.0,,5.0,-13.0,14.0,-1.0,-0.02
640,71,2.0,,1.0,-62.0,0.0,-35.0,-0.84
640,72,2.0,,4.0,-187.0,-84.0,-85.0,-2.04
640,73,2.0,,4.0,-260.0,16.0,-91.0,-2.19
640,74,3.0,,4.0,-941.0,-652.0,-808.0,-19.39
640,75,3.0,,4.0,-768.0,-401.0,-601.0,-14.42
640,76,3.0,,5.0,-62.0,0.0,-50.0,-1.2
641,66,1.0,,4.0,186.0,-144.0,36.0,0.87
641,67,1.0,,4.0,210.0,-197.0,-22.0,-0.53
641,68,1.0,,4.0,-232.0,-110.0,-175.0,-4.19
641,69,1.0,,5.0,-32.0,-12.0,-20.0,-0.49
641,70,1.0,,5.0,-8.0,5.0,-2.0,-0.04
641,71,2.0,,1.0,0.0,0.0,0.0,-0.91
641,72,2.0,,4.0,-187.0,-42.0,-84.0,-2.03
