DateID,CountryID,MechanismID,ExchangeDirection,ExchangeValue
115,8,5,NET,0.0
115,8,6,NET,0.0
115,8,7,NET,0.0
115,8,8,NET,0.0
120,1,1,Export,0.0
120,1,2,Export,0.0
120,1,3,Export,0.0
120,1,4,Export,0.0
120,1,5,Export,0.0
120,1,6,Export,0.0
120,1,7,Export,0.0
120,1,8,Export,0.0
120,2,1,Export,0.07
120,2,2,Export,0.0
120,2,3,Export,0.0
120,2,4,Export,0.0
120,2,5,Export,0.0
120,2,6,Export,0.0
120,2,7,Export,0.0
120,2,8,Export,0.0
120,3,1,Export,22.13
120,3,2,Export,0.0
120,3,3,Export,0.0
120,3,4,Export,0.0
120,3,5,Export,0.0
120,3,6,Export,0.0
120,3,7,Export,0.0
120,3,8,Export,0.0
120,4,1,Export,0.0
120,4,2,Export,0.0
120,4,3,Export,0.0
120,4,4,Export,0.0
120,4,5,Export,0.0
120,4,6,Export,0.0
120,4,7,Export,0.0
120,4,8,Export,0.0
120,6,1,Export,22.2
120,6,2,Export,0.0
120,6,3,Export,0.0
120,6,4,Export,0.0
120,6,5,Export,0.0
120,6,6,Export,0.0
120,6,7,Export,0.0
120,6,8,Export,0.0
120,1,1,Import,41.54
120,1,2,Import,1.87
120,1,3,Import,0.0
120,1,4,Import,0.0
120,1,5,Import,0.0
120,1,6,Import,0.0
120,1,7,Import,0.0
120,1,8,Import,0.0
120,2,1,Import,0.0
120,2,2,Import,0.0
120,2,3,Import,7.74
120,2,4,Import,0.0
120,2,5,Import,0.0
120,2,6,Import,0.0
120,2,7,Import,0.0
120,2,8,Import,0.0
120,3,1,Import,0.0
120,3,2,Import,0.0
120,3,3,Import,0.0
120,3,4,Import,0.0
120,3,5,Import,0.0
120,3,6,Import,0.0
120,3,7,Import,0.0
120,3,8,Import,0.0
120,4,1,Import,0.0
120,4,2,Import,0.0
120,4,3,Import,0.0
120,4,4,Import,0.0
120,4,5,Import,0.0
120,4,6,Import,0.0
120,4,7,Import,0.0
120,4,8,Import,0.0
120,7,1,Import,41.54
