DateID,RegionID,GenerationSourceID,GenerationAmount
21,1,1,764.0
21,1,2,25.0
21,1,9,30.0
21,1,6,17.0
21,1,14,177.0
21,3,8,65.0
21,3,11,62.0
21,3,10,117.48
21,3,1,751.0
21,3,2,60.0
21,3,9,45.0
21,3,6,6.0
21,3,14,211.0
21,6,8,374.0
21,6,11,175.0
21,6,10,337.0
21,6,1,3740.0
21,6,2,102.0
21,6,9,110.0
21,6,6,73.0
21,6,14,565.0
21,2,8,32.0
21,2,11,102.0
21,2,10,67.03
21,2,1,1553.0
21,2,2,18.0
21,2,9,35.0
21,2,6,20.0
21,2,14,170.0
22,4,8,42.0
22,4,10,2.53
22,4,1,641.0
22,4,2,0.0
22,4,9,0.0
22,4,6,0.0
22,4,14,3.0
22,5,8,13.0
22,5,10,1.14
22,5,1,13.0
22,5,2,0.0
22,5,9,0.0
22,5,6,30.0
22,5,14,1.0
22,1,8,193.0
22,1,11,16.0
22,1,10,143.89
22,1,1,750.0
22,1,2,24.0
22,1,9,30.0
22,1,6,18.0
22,1,14,178.0
22,3,8,52.0
22,3,11,41.0
22,3,10,109.85
22,3,1,722.0
22,3,2,60.0
22,3,9,45.0
22,3,6,6.0
22,3,14,180.0
22,6,8,326.0
22,6,11,165.0
22,6,10,322.0
22,6,1,3636.0
22,6,2,99.0
22,6,9,110.0
22,6,6,69.0
22,6,14,537.0
22,2,8,25.0
22,2,11,108.0
22,2,10,64.73
22,2,1,1509.0
22,2,2,15.0
22,2,9,35.0
22,2,6,15.0
22,2,14,174.0
23,4,8,43.0
23,4,10,5.15
23,4,1,601.0
23,4,2,0.0
23,4,9,0.0
23,4,6,0.0
23,4,14,6.0
23,5,8,10.0
23,5,10,0.52
23,5,1,11.0
23,5,2,0.0
23,5,9,0.0
23,5,6,30.0
23,5,14,1.0
23,1,8,173.0
23,1,11,26.0
23,1,10,142.63
23,1,1,676.0
23,1,2,21.0
23,1,9,30.0
23,1,6,18.0
23,1,14,188.0
23,3,8,53.0
23,3,11,38.0
23,3,10,127.91
23,3,1,658.0
23,3,2,40.0
23,3,9,45.0
23,3,6,6.0
23,3,14,191.0
23,6,8,297.0
23,6,11,159.0
23,6,10,340.0
23,6,1,3324.0
23,6,2,77.0
23,6,9,111.0
23,6,6,68.0
23,6,14,545.0
23,2,8,19.0
23,2,11,95.0
23,2,10,63.33
23,2,1,1378.0
23,2,2,16.0
23,2,9,36.0
23,2,6,15.0
23,2,14,159.0
24,4,8,40.0
24,4,10,5.53
24,4,1,642.0
24,4,2,0.0
24,4,9,0.0
24,4,6,0.0
24,4,14,6.0
24,5,8,10.0
24,5,10,1.38
24,5,1,13.0
24,5,2,0.0
24,5,9,0.0
24,5,6,30.0
24,5,14,1.0
24,1,8,163.0
24,1,11,18.0
24,1,10,141.76
24,1,1,715.0
24,1,2,23.0
24,1,9,30.0
24,1,6,18.0
24,1,14,179.0
24,3,8,70.0
24,3,11,32.0
24,3,10,126.17
24,3,1,682.0
24,3,2,52.0
24,3,9,45.0
24,3,6,6.0
24,3,14,188.0
24,6,8,315.0
24,6,11,108.0
24,6,10,339.0
24,6,1,3526.0
24,6,2,94.0
24,6,9,111.0
24,6,6,72.0
24,6,14,498.0
24,2,8,33.0
24,2,11,58.0
24,2,10,64.47
24,2,1,1474.0
24,2,2,19.0
24,2,9,36.0
24,2,6,18.0
24,2,14,124.0
25,4,8,33.0
25,4,10,2.72
25,4,1,691.0
25,4,2,0.0
25,4,9,0.0
25,4,6,0.0
25,4,14,3.0
25,5,8,10.0
25,5,10,1.35
25,5,1,14.0
25,5,2,0.0
25,5,9,0.0
25,5,6,29.0
25,5,14,1.0
25,1,8,166.0
25,1,11,14.0
25,1,10,140.51
25,1,1,723.0
25,1,2,26.0
25,1,9,29.0
25,1,6,18.0
25,1,14,174.0
25,3,8,69.0
25,3,11,32.0
25,3,10,109.55
25,3,1,715.0
25,3,2,60.0
25,3,9,45.0
25,3,6,7.0
25,3,14,171.0
25,6,8,303.0
25,6,11,126.0
25,6,10,319.0
25,6,1,3637.0
25,6,2,105.0
25,6,9,111.0
25,6,6,69.0
25,6,14,495.0
25,2,8,26.0
25,2,11,81.0
25,2,10,64.6
25,2,1,1493.0
25,2,2,19.0
25,2,9,37.0
25,2,6,16.0
25,2,14,146.0
26,4,8,38.0
26,4,10,3.09
26,4,1,694.0
26,4,2,0.0
26,4,9,0.0
26,4,6,0.0
26,4,14,3.0
26,5,8,10.0
26,5,10,1.28
26,5,1,15.0
26,5,2,0.0
26,5,9,0.0
26,5,6,30.0
26,5,14,1.0
26,1,8,175.0
26,1,11,26.0
26,1,10,120.29
26,1,1,763.0
26,1,2,27.0
26,1,9,29.0
26,1,6,18.0
26,1,14,167.0
26,3,8,67.0
26,3,11,24.0
26,3,10,112.45
26,3,1,703.0
26,3,2,59.0
26,3,9,45.0
26,3,6,7.0
26,3,14,164.0
26,6,8,316.0
26,6,11,157.0
26,6,10,297.0
26,6,1,3662.0
26,6,2,106.0
26,6,9,111.0
26,6,6,72.0
26,6,14,503.0
26,2,8,26.0
26,2,11,107.0
26,2,10,59.41
26,2,1,1486.0
26,2,2,20.0
26,2,9,37.0
26,2,6,18.0
26,2,14,167.0
27,4,8,37.0
27,4,10,2.53
27,4,1,704.0
27,4,2,0.0
27,4,9,0.0
27,4,6,0.0
27,4,14,3.0
27,5,8,8.0
27,5,10,1.16
27,5,1,16.0
27,5,2,0.0
27,5,9,0.0
27,5,6,29.0
27,5,14,1.0
27,1,8,179.0
27,1,11,15.0
27,1,10,100.29
27,1,1,765.0
27,1,2,26.0
27,1,9,29.0
27,1,6,16.0
27,1,14,135.0
27,3,8,76.0
27,3,11,32.0
27,3,10,109.48
27,3,1,708.0
27,3,2,58.0
27,3,9,48.0
27,3,6,6.0
27,3,14,168.0
27,6,8,327.0
27,6,11,116.0
27,6,10,277.0
27,6,1,3683.0
27,6,2,104.0
27,6,9,113.0
27,6,6,72.0
27,6,14,442.0
27,2,8,27.0
27,2,11,70.0
27,2,10,63.97
27,2,1,1491.0
27,2,2,21.0
27,2,9,37.0
27,2,6,21.0
27,2,14,135.0
28,4,8,40.0
28,4,10,2.64
28,4,1,701.0
28,4,2,0.0
28,4,9,0.0
28,4,6,0.0
28,4,14,3.0
28,5,8,9.0
28,5,10,1.11
28,5,1,15.0
28,5,2,0.0
28,5,9,0.0
28,5,6,29.0
28,5,14,1.0
28,1,8,189.0
28,1,11,19.0
28,1,10,103.44
28,1,1,773.0
28,1,2,29.0
28,1,9,29.0
28,1,6,15.0
28,1,14,142.0
28,3,8,72.0
28,3,11,30.0
28,3,10,107.99
28,3,1,685.0
28,3,2,61.0
28,3,9,61.0
28,3,6,7.0
28,3,14,167.0
28,6,8,332.0
28,6,11,106.0
28,6,10,269.0
28,6,1,3642.0
28,6,2,113.0
28,6,9,127.0
28,6,6,71.0
28,6,14,425.0
28,2,8,22.0
28,2,11,57.0
28,2,10,54.02
