DateID,StateID,MaximumDemand,Shortage,EnergyMet,DrawalSchedule,OverUnderDrawal,MaxOverDrawal,EnergyShortage
7,28,1399.0,179.0,31.0,24.6,0.3,103.0,3.85
7,29,5350.0,0.0,108.5,36.9,-1.3,375.0,0.0
7,30,9055.0,0.0,200.3,55.8,-0.9,189.0,0.0
7,31,101.0,0.0,1.6,1.5,0.1,49.0,0.0
7,33,140.0,0.0,2.4,2.5,-0.2,35.0,0.0
7,34,1687.0,0.0,30.2,23.1,0.1,88.0,0.0
7,35,185.0,0.0,2.7,2.8,-0.1,32.0,0.0
7,36,310.0,22.0,4.9,3.3,0.0,33.0,1.23
7,37,103.0,0.0,1.6,1.5,-0.3,3.0,0.0
7,38,124.0,0.0,2.1,2.2,-0.1,21.0,0.0
7,39,273.0,0.0,5.3,4.8,0.5,60.0,0.0
8,1,6287.0,0.0,130.4,34.7,-1.1,446.0,0.0
8,2,6917.0,0.0,131.3,96.6,-0.2,297.0,0.0
8,3,11534.0,0.0,231.6,42.6,-2.1,214.0,0.0
8,4,3544.0,0.0,71.8,71.3,-1.7,62.0,0.0
8,5,19117.0,0.0,337.2,100.0,0.0,316.0,0.0
8,6,1903.0,0.0,37.6,26.7,0.4,133.0,1.13
8,7,1670.0,0.0,31.6,20.2,0.3,81.0,0.37
8,8,2873.0,0.0,56.2,49.2,-1.4,96.0,0.25
8,9,182.0,0.0,3.3,3.4,0.0,28.0,0.0
8,10,152.0,0.0,3.1,3.2,-0.1,3.0,0.0
8,11,4843.0,0.0,110.2,56.5,-0.8,269.0,0.0
8,12,19645.0,0.0,431.7,191.1,2.4,1219.0,0.0
8,13,11265.0,0.0,235.6,141.1,-3.9,517.0,0.0
8,14,25620.0,0.0,543.7,177.3,-1.3,671.0,0.0
8,15,697.0,0.0,14.9,14.2,0.2,63.0,0.0
8,16,1263.0,0.0,29.2,29.4,-0.2,41.0,0.0
8,17,816.0,0.0,17.6,8.2,-0.1,262.0,0.0
8,18,520.0,0.0,12.4,12.4,0.0,12.0,0.0
8,20,11358.0,0.0,225.0,90.0,1.4,814.0,0.0
8,21,12710.0,0.0,254.2,120.6,1.1,673.0,0.0
8,22,13826.0,0.0,274.6,126.4,-1.3,760.0,0.0
8,23,4330.0,0.0,87.9,63.8,-0.5,99.0,0.0
8,24,17731.0,0.0,378.8,239.4,1.1,521.0,0.0
8,25,414.0,0.0,9.0,9.6,-0.6,24.0,0.0
8,26,5789.0,0.0,109.0,96.1,-0.8,250.0,0.51
8,27,3543.0,0.0,76.9,-49.1,-0.3,268.0,0.0
8,28,1428.0,257.0,32.3,23.5,0.3,127.0,2.57
8,29,5534.0,0.0,107.8,42.7,-1.5,389.0,0.0
8,30,9482.0,0.0,204.3,62.9,-2.6,110.0,0.0
8,31,100.0,0.0,1.5,1.4,0.1,41.0,0.0
8,33,155.0,0.0,2.5,2.4,0.1,47.0,0.0
8,34,1718.0,0.0,31.2,24.2,0.4,138.0,0.0
8,35,213.0,0.0,2.7,2.6,0.0,40.0,0.0
8,36,295.0,55.0,5.2,3.1,0.1,35.0,1.45
8,37,126.0,0.0,1.8,1.6,-0.3,10.0,0.0
8,38,135.0,0.0,2.0,2.1,-0.1,21.0,0.0
8,39,271.0,0.0,4.7,5.1,0.4,61.0,0.0
9,1,6066.0,0.0,123.2,34.0,-1.7,142.0,0.35
9,2,5979.0,0.0,115.0,83.4,-2.5,57.0,0.0
9,3,11670.0,0.0,231.2,53.8,-3.4,125.0,0.0
9,4,3409.0,0.0,70.7,69.9,-1.7,78.0,0.0
9,5,19078.0,0.0,336.9,106.7,0.1,667.0,0.01
9,6,1864.0,0.0,36.4,25.4,0.3,127.0,0.26
9,7,1562.0,0.0,29.5,18.0,0.1,43.0,0.0
9,8,2794.0,0.0,55.5,47.6,-0.9,180.0,0.54
9,9,169.0,0.0,3.1,3.1,0.0,20.0,0.0
9,10,150.0,0.0,3.1,3.2,-0.1,11.0,0.0
9,11,5014.0,0.0,117.5,59.0,-0.6,179.0,0.0
9,12,18934.0,0.0,420.8,194.8,2.4,1500.0,0.0
9,13,10990.0,0.0,232.9,132.3,-3.5,316.0,0.0
9,14,24808.0,0.0,534.1,177.2,-0.3,706.0,0.0
9,15,678.0,0.0,14.3,13.4,0.4,44.0,0.0
9,16,1220.0,0.0,28.2,28.5,-0.3,113.0,0.0
9,17,791.0,0.0,17.8,8.8,0.0,299.0,0.0
9,18,521.0,0.0,12.4,12.4,0.0,11.0,0.0
9,20,11177.0,0.0,226.9,85.4,-1.6,633.0,0.0
9,21,12488.0,0.0,253.6,131.4,1.4,583.0,0.0
9,22,13401.0,0.0,268.4,115.8,-3.4,753.0,0.0
9,23,4003.0,0.0,82.5,62.7,-0.5,188.0,0.0
9,24,15616.0,0.0,347.9,222.0,0.7,805.0,0.0
9,25,392.0,0.0,9.1,9.3,-0.9,4.0,0.0
9,26,5837.0,0.0,110.7,98.5,-0.8,252.0,0.36
9,27,3560.0,0.0,75.8,-47.1,0.0,312.0,0.0
9,28,1443.0,89.0,32.1,22.7,0.8,191.0,4.5
9,29,6069.0,0.0,117.0,51.8,-2.5,352.0,0.0
9,30,8874.0,0.0,194.3,57.6,-2.6,132.0,0.0
9,31,79.0,0.0,1.2,1.3,-0.1,32.0,0.0
9,33,152.0,0.0,2.6,2.3,0.2,58.0,0.0
9,34,1682.0,0.0,30.6,23.0,0.7,143.0,0.0
9,35,175.0,0.0,2.5,2.6,-0.2,31.0,0.0
9,36,279.0,63.0,5.1,3.2,0.2,41.0,1.49
9,37,103.0,0.0,1.7,1.5,-0.3,7.0,0.0
9,38,134.0,0.0,2.0,2.1,-0.1,21.0,0.0
9,39,278.0,0.0,4.4,5.3,0.3,52.0,0.0
10,1,6378.0,230.0,137.1,42.7,-1.4,105.0,0.23
10,2,6561.0,650.0,125.6,95.3,0.3,216.0,4.58
10,3,11865.0,0.0,236.5,53.3,-4.8,160.0,0.6
10,4,3812.0,0.0,77.5,77.2,-2.1,128.0,0.0
10,5,18977.0,0.0,344.9,101.9,-0.2,338.0,1.47
10,6,1967.0,0.0,37.0,26.2,-0.1,87.0,1.34
10,7,1702.0,0.0,31.0,18.9,0.3,72.0,0.38
10,8,2753.0,0.0,55.1,46.1,0.1,182.0,2.09
10,9,192.0,0.0,3.6,3.6,0.0,37.0,0.0
10,10,159.0,0.0,3.2,3.1,0.1,18.0,0.0
10,11,5264.0,0.0,120.9,59.9,-0.4,269.0,0.0
10,12,20600.0,0.0,441.2,199.3,0.3,1499.0,0.0
10,13,11114.0,0.0,243.2,136.4,-2.2,495.0,0.0
10,14,26632.0,0.0,563.9,185.5,-0.5,1154.0,0.0
10,15,739.0,0.0,14.8,14.3,0.0,63.0,0.0
10,16,1225.0,0.0,28.5,29.0,-0.5,63.0,0.0
10,17,813.0,0.0,18.4,7.9,0.4,261.0,0.0
10,18,518.0,0.0,12.4,12.4,0.0,515.0,0.0
10,20,11638.0,0.0,232.3,85.0,1.2,864.0,0.0
10,21,13022.0,0.0,259.0,132.8,0.9,678.0,0.0
10,22,15263.0,0.0,293.4,126.4,-2.2,731.0,0.0
10,23,4435.0,0.0,90.2,67.4,-0.4,225.0,0.0
10,24,17824.0,0.0,373.6,229.7,0.9,591.0,0.0
10,25,441.0,0.0,9.9,9.6,-0.5,17.0,0.0
10,26,5724.0,0.0,108.9,100.7,-2.9,278.0,0.04
10,27,3612.0,0.0,77.6,-50.8,0.2,333.0,0.0
10,28,1466.0,91.0,33.3,23.4,0.9,96.0,3.29
10,29,5775.0,0.0,113.7,39.8,-1.3,395.0,0.0
10,30,10139.0,0.0,210.4,71.2,-1.9,420.0,0.0
10,31,91.0,0.0,1.4,1.4,0.0,35.0,0.0
10,33,151.0,0.0,2.7,2.3,0.3,61.0,0.0
10,34,1776.0,0.0,31.1,24.6,-0.5,150.0,0.0
10,35,189.0,0.0,2.6,2.6,0.0,27.0,0.0
10,36,296.0,63.0,5.0,3.1,0.2,55.0,1.3
10,37,123.0,0.0,1.8,1.6,-0.2,4.0,0.0
10,38,126.0,0.0,2.0,2.1,-0.1,16.0,0.0
10,39,291.0,0.0,5.1,5.5,0.7,67.0,0.0
11,1,6849.0,0.0,142.1,41.5,-2.0,153.0,0.0
11,2,7301.0,13.0,136.0,99.5,0.2,372.0,3.0
11,3,11759.0,0.0,245.4,61.6,-3.8,187.0,1.63
11,4,3908.0,0.0,80.1,80.1,-1.5,131.0,0.0
11,5,20586.0,0.0,355.1,111.4,-1.5,321.0,0.29
11,6,2005.0,0.0,38.8,24.9,0.8,156.0,1.46
11,7,1712.0,0.0,31.5,19.7,0.0,68.0,0.0
11,8,2727.0,62.0,55.3,46.1,-0.1,374.0,1.56
11,9,192.0,0.0,3.6,3.7,-0.2,9.0,0.0
11,10,153.0,0.0,3.2,3.1,0.1,28.0,0.0
11,11,5376.0,0.0,124.7,62.3,-0.4,225.0,0.0
11,12,20246.0,0.0,448.0,204.1,-2.5,1493.0,0.0
11,13,11585.0,0.0,252.6,143.9,-1.7,467.0,0.0
11,14,27433.0,0.0,557.9,187.2,0.6,2104.0,0.0
11,15,744.0,0.0,15.8,15.2,0.1,69.0,0.0
11,16,1263.0,0.0,29.3,29.7,-0.4,52.0,0.0
11,17,864.0,0.0,18.1,6.3,0.5,331.0,0.0
11,18,520.0,0.0,12.4,12.3,0.1,14.0,0.0
11,20,11823.0,0.0,236.0,82.1,0.3,698.0,0.0
11,21,13180.0,0.0,262.5,135.5,1.9,558.0,0.0
11,22,15020.0,0.0,297.7,122.3,-2.7,750.0,0.0
11,23,4747.0,0.0,95.7,69.3,0.0,214.0,0.0
11,24,18147.0,0.0,389.0,242.7,-0.5,395.0,0.0
11,25,441.0,0.0,9.9,9.8,-0.6,15.0,0.0
11,26,5952.0,0.0,113.4,101.2,-1.3,175.0,0.25
11,27,3504.0,0.0,77.5,-51.0,-0.1,312.0,0.0
11,28,1464.0,0.0,33.9,23.2,1.4,120.0,2.79
11,29,5779.0,0.0,117.7,38.1,-1.7,414.0,0.0
11,30,10153.0,0.0,215.0,78.7,-2.8,213.0,0.0
11,31,102.0,0.0,1.5,1.3,0.2,57.0,0.0
11,33,155.0,0.0,2.5,2.2,0.2,47.0,0.0
11,34,1846.0,0.0,33.1,25.5,0.6,133.0,0.0
11,35,192.0,0.0,2.7,2.5,0.1,47.0,0.0
11,36,319.0,36.0,5.1,3.1,0.4,57.0,1.46
11,37,119.0,0.0,1.9,1.6,-0.2,11.0,0.0
11,38,125.0,0.0,2.1,2.2,0.0,28.0,0.0
11,39,297.0,0.0,5.4,5.7,0.9,113.0,0.0
12,1,7174.0,0.0,147.6,42.8,-1.9,134.0,0.0
12,2,7406.0,0.0,141.5,80.2,-1.4,204.0,1.11
12,3,12288.0,0.0,249.9,59.8,-1.9,204.0,0.0
12,4,4126.0,0.0,85.4,84.6,-1.7,102.0,0.0
12,5,21161.0,0.0,375.2,118.5,-1.3,487.0,0.0
