DateID,LineID,Inter_Region,MaxImport,MaxExport,ImportEnergy,ExportEnergy,NetImportEnergy
10,48,WR-NR,571.0,320.0,,,
10,50,WR-NR,0.0,0.0,,,
10,51,WR-NR,0.0,30.0,,,
10,52,WR-NR,109.0,0.0,,,
10,53,WR-NR,92.0,1.0,,,
10,54,WR-NR,0.0,0.0,,,
10,55,WR-NR,0.0,0.0,,,
10,56,WR-SR,0.0,1016.0,,,
10,57,WR-SR,0.0,6027.0,,,
10,58,WR-SR,562.0,1911.0,,,
10,59,WR-SR,0.0,3067.0,,,
10,61,WR-SR,1206.0,0.0,,,
10,62,WR-SR,0.0,0.0,,,
10,63,WR-SR,0.0,0.0,,,
10,64,WR-SR,0.0,135.0,,,
11,1,ER-NR,0.0,0.0,,,
11,2,ER-NR,0.0,296.0,,,
11,3,ER-NR,0.0,1001.0,,,
11,4,ER-NR,0.0,534.0,,,
11,5,ER-NR,0.0,498.0,,,
11,6,ER-NR,0.0,201.0,,,
11,7,ER-NR,0.0,166.0,,,
11,8,ER-NR,247.0,594.0,,,
11,9,ER-NR,0.0,496.0,,,
11,10,ER-NR,5.0,523.0,,,
11,12,ER-NR,15.0,510.0,,,
11,11,ER-NR,80.0,355.0,,,
11,14,ER-NR,0.0,180.0,,,
11,15,ER-NR,0.0,0.0,,,
11,16,ER-NR,25.0,0.0,,,
11,17,ER-NR,0.0,26.0,,,
11,18,ER-NR,0.0,0.0,,,
11,19,ER-WR,1413.0,0.0,,,
11,20,ER-WR,517.0,490.0,,,
11,21,ER-WR,0.0,1004.0,,,
11,22,ER-WR,0.0,700.0,,,
11,23,ER-WR,64.0,253.0,,,
11,24,ER-WR,0.0,176.0,,,
11,25,ER-WR,90.0,61.0,,,
11,26,ER-SR,0.0,654.0,,,
11,27,ER-SR,0.0,1642.0,,,
11,28,ER-SR,0.0,3103.0,,,
11,29,ER-SR,405.0,0.0,,,
11,30,ER-SR,0.0,0.0,,,
11,31,ER-NER,145.0,52.0,,,
11,32,ER-NER,483.0,17.0,,,
11,33,ER-NER,85.0,6.0,,,
11,34,NER-NR,485.0,0.0,,,
11,35,WR-NR,0.0,996.0,,,
11,36,WR-NR,273.0,0.0,,,
11,37,WR-NR,0.0,251.0,,,
11,38,WR-NR,66.0,1622.0,,,
11,39,WR-NR,0.0,1916.0,,,
11,40,WR-NR,0.0,885.0,,,
11,41,WR-NR,836.0,0.0,,,
11,42,WR-NR,0.0,992.0,,,
